"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1478293795","1.1.1.1","4341432","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1478293796","1.1.1.2","251951","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, hospitalized","Number","223","units","0","v1478293797","1.1.1.3","1421033","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1478293798","1.1.1.4","2668448","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1478293799","1.1.1.5","4341432","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1478293800","1.1.1.6","35751","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, intensive care unit","Number","223","units","0","v1478293801","1.1.1.7","1637233","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1478293802","1.1.1.8","2668448","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by death status","Number","223","units","0","v1478293803","1.1.1.9","4341432","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, deceased","Number","223","units","0","v1478293804","1.1.1.10","34952","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","No, not deceased","Number","223","units","0","v1478293805","1.1.1.11","2666309","","","","0"
"2023","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, deceased","Number","223","units","0","v1478293806","1.1.1.12","1640171","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by hospitalization status","Number","223","units","0","v1478293807","1.1.2.1","734284","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, hospitalized","Number","223","units","0","v1478293808","1.1.2.2","10017","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","No, hospitalized","Number","223","units","0","v1478293809","1.1.2.3","277745","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, hospitalized","Number","223","units","0","v1478293810","1.1.2.4","446522","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by intensive care unit admittance","Number","223","units","0","v1478293811","1.1.2.5","734284","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, intensive care unit","Number","223","units","0","v1478293812","1.1.2.6","987","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","No, intensive care unit","Number","223","units","0","v1478293813","1.1.2.7","286775","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, intensive care unit","Number","223","units","0","v1478293814","1.1.2.8","446522","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by death status","Number","223","units","0","v1478293815","1.1.2.9","734284","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, deceased","Number","223","units","0","v1478293816","1.1.2.10","0","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","No, not deceased","Number","223","units","0","v1478293817","1.1.2.11","457773","","","","0"
"2023","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, deceased","Number","223","units","0","v1478293818","1.1.2.12","276511","","","","0"
